"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.51120000000E+009, -1.73714122125E+001, +0.00000000000E+000
+2.51200000000E+009, -1.62970363454E+001, +0.00000000000E+000
+2.51280000000E+009, -1.52902518261E+001, +0.00000000000E+000
+2.51360000000E+009, -1.43172105688E+001, +0.00000000000E+000
+2.51440000000E+009, -1.34077235531E+001, +0.00000000000E+000
+2.51520000000E+009, -1.25336743932E+001, +0.00000000000E+000
+2.51600000000E+009, -1.16789184881E+001, +0.00000000000E+000
+2.51680000000E+009, -1.09024180532E+001, +0.00000000000E+000
+2.51760000000E+009, -1.01436568528E+001, +0.00000000000E+000
+2.51840000000E+009, -9.43203542264E+000, +0.00000000000E+000
+2.51920000000E+009, -8.77635672989E+000, +0.00000000000E+000
+2.52000000000E+009, -8.15121656440E+000, +0.00000000000E+000
+2.52080000000E+009, -7.56765613286E+000, +0.00000000000E+000
+2.52160000000E+009, -7.04404947959E+000, +0.00000000000E+000
+2.52240000000E+009, -6.54554175119E+000, +0.00000000000E+000
+2.52320000000E+009, -6.11313407101E+000, +0.00000000000E+000
+2.52400000000E+009, -5.70097365680E+000, +0.00000000000E+000
+2.52480000000E+009, -5.33002855557E+000, +0.00000000000E+000
+2.52560000000E+009, -4.98685223506E+000, +0.00000000000E+000
+2.52640000000E+009, -4.66243019963E+000, +0.00000000000E+000
+2.52720000000E+009, -4.35613732777E+000, +0.00000000000E+000
+2.52800000000E+009, -4.06486298911E+000, +0.00000000000E+000
+2.52880000000E+009, -3.78384207933E+000, +0.00000000000E+000
+2.52960000000E+009, -3.51624097754E+000, +0.00000000000E+000
+2.53040000000E+009, -3.24391015734E+000, +0.00000000000E+000
+2.53120000000E+009, -2.97020522850E+000, +0.00000000000E+000
+2.53200000000E+009, -2.70488418560E+000, +0.00000000000E+000
+2.53280000000E+009, -2.44181832936E+000, +0.00000000000E+000
